Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P0C2H6;10050830;9688831;10199822;8896225;9384335;8948190;8494913;8898144
P0C2H8;14630362;17394128;15125228;13197397;11550243;11453527;8313367.5;10916553
P0C2H9;723728.25;1737087.125;1692934.75;799808.9375;575952.5;552519.125;602970;2267913.5
P0C2I8;114992.8046875;133495.6875;103726.375;212377.390625;95932.140625;62574.56640625;75302.375;82158.578125
P0C2I9;4205484.5;3513650.75;3727532;3401859.5;4571633;3910009.25;4334593.5;4138223.5
P0C2J1;97542.65625;84107.546875;69522.296875;74235.953125;57370.0625;57320.2578125;52398.1328125;62240.28125
P0CS90;11039957;11856584;10035991;10427244;11037797;10123913;9826423;10211322
P0CT04;2258391.25;2713787;2657360.75;2317098.25;2321206.5;2249937.5;2333091.5;2057316.25
P10080;3309379;3416026.25;2863707.5;3436471;2842679.75;2639948.5;2877433;3016491.5
P10081;13797887;14052034;15420236;14741007;12778630;13721856;15279463;16819958
P10127;96040.984375;203184.21875;145593.65625;145214.8125;89721.2578125;138339.9375;144489.765625;118203.6484375
P10174;42906.6640625;61731.63671875;68949.7421875;59417.96875;64738.984375;70901.2109375;73277.6875;68836.0859375
P10356;203573.40625;191314.40625;175289.625;174761.640625;141218.796875;128700.03125;112277.6640625;129604.734375
P10363;428503.375;629612.3125;459482.1875;439418.96875;450409.34375;413941.6875;410288.0625;518198.96875
P10507;370673.5;364190.46875;356116.78125;358764.40625;322819.84375;333052.21875;320526.90625;351025.0625
P10591;16072450;23687106;18949274;21819848;21628446;19554728;17183466;21240672
P10592;32991492;34425936;29981854;31145668;32285054;29066172;24189942;27487754
P10614;543626.6875;548826.375;568496.8125;555679.75;548117.375;514704.3125;499848;512919.625
P10622;1690063.375;1775675;2040664.125;2433757.25;2652967.75;2239821.75;2688881.5;4010334
P10659;10686652;12318877;11168457;10857858;13548053;13868674;13445008;13845904
P10662;211637.359375;200769.703125;207635.015625;205224.109375;178677.34375;190018.375;189384.46875;204150.953125
P10664;3097679.5;2519775.25;2382270;2614309.5;6023632.5;3269103;5651506.5;5552276.5
P10823;125282.1171875;138536.984375;121122.3984375;130552.2109375;119482.15625;117583.4375;113210.8515625;120168.234375
