Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P50108;154930.703125;120272.75;126018.140625;130749.03125;142980.6875;140407.015625;134928.96875;165974.796875
P50109;235206.265625;189136.71875;186305.65625;186872.390625;212867.15625;182962.59375;194649.59375;226322.390625
P50110;34563.703125;28910.935546875;35805.59765625;29812.4453125;30076.48046875;30761.962890625;27442.02734375;40928.640625
P50111;52201.8515625;41094.9296875;70736.015625;78344.9140625;59545.8046875;58970.53125;61011.8203125;42675.21875
P50264;84928.328125;108955.15625;96010.40625;102617.515625;115057.8125;141181.140625;123742.421875;147387.03125
P50276;99258.6328125;85272.9609375;102158.9296875;114556.8671875;63000.875;58107.33984375;55307.375;60665.19921875
P50278;523624.28125;440496.21875;472983.125;547299.25;783856.375;724601.125;651811.5;629694.4375
P50623;170917.671875;145537.859375;160685.515625;126476.1484375;151704.3125;130693.6171875;138849.359375;125732.4921875
P50861;1040518.3125;836723.5625;1149413.5;1245194.875;1313558.25;1606715.375;1877891.75;1629154.75
P50874;0;0;0;0;70690.21875;66442.3828125;65734.859375;58226.48828125
P50896;109707.6640625;108540.9609375;101433.4375;107946.0390625;81563.3046875;88994.328125;82867.9453125;91207.8515625
P50945;18899.0546875;48250.83984375;48556.98828125;28216.6171875;43657.33203125;44075.6640625;45604.546875;49961.671875
P50946;407567.1875;385236.53125;374172.5;377710.90625;322821.4375;310576.4375;318793.25;349825.46875
P50947;24639.310546875;28097.40234375;28594.1015625;34655.7734375;54115.3359375;39558.8515625;44918.33203125;46980.82421875
P51401;6519225.5;6619649;7184641.5;5902364.5;7052684.5;6834509.5;6995761;7862026
P51402;5857635.5;5160929.5;5460032;5027215;4644700;4898043.5;4876248.5;4507633.5
P51534;59599.97265625;53654.5;50345.08203125;62724.609375;57677.1796875;60235.40234375;55259.26171875;59245.82421875
P51601;334230.625;300875.34375;377340.65625;316325.4375;296783.875;367700.5625;296148.15625;346286.5625
P51862;71183.8203125;50362.08984375;65602.65625;74642.9453125;48667.63671875;51991.0234375;45970.30078125;64067.70703125
P51996;150063.9375;172332.1875;178764.140625;189562.265625;173738.84375;169239.15625;162932.875;189672.84375
P51998;128007.5234375;122036.6796875;135215.125;116844.484375;105545.0625;104483.3828125;105139.5;123049.5078125
P52286;606784.75;620625.8125;554626.375;596020.0625;540788.3125;530779.4375;590177.375;545402.875
P52488;140584.609375;134679.03125;131012.046875;120405.546875;194135.28125;176459.078125;165222.265625;173907.546875
P52489;94486.125;95950.8046875;118235.140625;121878.15625;108744.671875;121371.1328125;152558.25;134698.484375
P52490;584917.5;491092.75;531556.75;523987.21875;594079.75;598759.4375;532555.375;577923.9375
P52491;25238.279296875;30412.05078125;27155.564453125;17072.232421875;61535.8671875;51407.87109375;50109.22265625;54562.4453125
P52553;1786310.125;1702785.375;1481182.375;1635865.5;1268905;1198247.875;1328642.125;1124922.875
P52593;126144.6796875;97556.359375;111314.6484375;112190.78125;99882.03125;93811.1796875;96512.09375;114372.0078125
P52870;340296.625;274201.90625;243755.265625;249137.453125;252182.875;221706.765625;207864.28125;214150.421875
P52871;428668.5;339798.96875;365467.15625;419893.8125;391998.78125;348090.5625;364408.78125;354630.5
P52891;117230.0234375;100290.6171875;145507.078125;111367.640625;144948.765625;128241.5703125;162409.921875;166235.625
P52892;114304.8046875;114172.28125;110615.625;91836.5390625;90326.640625;84991.9765625;80701.8359375;92848.6484375
P52893;121318.921875;124176.046875;137020;111629.3359375;171138.53125;184055.828125;204750.578125;189879.671875
P52910;1861964.625;1940354.75;2000423;1805315.125;1868869.375;1935292.5;1794997.75;2027884.375
P52911;133035.40625;132634.03125;130719.2578125;145927.078125;131879.59375;137921.546875;130342.546875;130121.1640625
P52917;210688.96875;250056.796875;234523.171875;198053.65625;236815.1875;241033.078125;231578.359375;230077.359375
P52918;31435.890625;32440.65234375;44758.2890625;41119.2734375;38463.90234375;49571.3359375;56821.5859375;55391.55078125
P52920;78968.3359375;72314.671875;63297.48828125;73498.21875;58107.671875;55660.01953125;49949.62890625;55297.578125
P52923;0;0;0;0;52593.0703125;56241.921875;50026.33984375;27052.833984375
P53008;363425.875;335621.65625;365659.15625;338726.5625;543361.5;543902.75;629116.3125;609590.375
P53009;305673.375;269275.0625;284141.5625;325033.25;285012.75;269354.28125;279916.1875;296045.09375
P53010;87801.921875;67279.6171875;78382.9453125;84732.5;56760.01953125;71757.359375;68612.265625;72162.5625
P53011;183207.921875;161507.53125;211882.890625;180477.234375;191337.5625;208385.703125;229339.5;216803.71875
P53012;120016.09375;149623.859375;122895.2578125;179691.71875;110908.2109375;90124.390625;87535.6875;98224.0859375
P53037;4278.375;3677.94799804688;4773.72607421875;4965.29736328125;6289.939453125;6307.14697265625;8663.158203125;7043.494140625
P53040;159150.15625;190404.453125;234927.6875;194028.59375;200961.140625;188532.546875;203923.359375;192080.8125
P53043;132561.234375;119210.1796875;123589.328125;127360.7265625;124489.7578125;122845.90625;114375.2734375;147873.09375
P53044;218136.375;222012.0625;247785.59375;223435.03125;301808.46875;287724.5;288350.6875;303570.25
P53045;0;0;0;0;52429.7265625;65587.609375;107399.6015625;52976.65625
P53049;110806;140179.015625;155944.65625;120636.3828125;133084.140625;111411.1484375;132038.578125;125177.765625
P53062;35783.640625;33776.7734375;0;36405.81640625;30317.310546875;34913.84765625;0;21577.623046875
P53063;115934.6953125;107200.1328125;135574.75;125671.7109375;114181.1796875;116358.015625;140899.140625;143209.546875
P53064;310208.75;288443.09375;295340.0625;297026.25;319622.8125;328051.3125;317857.0625;307981.53125
P53066;857188.875;1065460.25;823964.0625;860236.75;773722.4375;730497.3125;755593.875;712353.5
P53067;17411.03515625;9444.9130859375;21514.462890625;19459.03125;44476.44921875;61223.484375;39992.4375;45750.21484375
P53072;226240.90625;239876.484375;204001.46875;261795.953125;277566.8125;269279.53125;269457.28125;277668.90625
P53073;164423.1875;164204.953125;178217.359375;187952.75;158970.0625;175366.546875;188556.359375;176418.046875
P53075;606457.4375;594346;595998.25;603939.375;663466.375;665088.3125;626914.0625;653530.3125
P53076;63183.73828125;63822.34765625;67956.5703125;68403.1171875;62417.23828125;54045.02734375;55942.2421875;58349.62109375
P53078;54806.0390625;59423.8125;68963.1796875;54753.01171875;65892.1328125;53311.88671875;49859.67578125;74316.625
P53079;39396.74609375;36596.45703125;31611.373046875;36649.2734375;38588.98046875;26728.880859375;21795.173828125;34024.2578125
P53081;394516.125;383056.96875;438689.5;419137.4375;453116.65625;465777.8125;500407.625;482689.125
P53082;138606.8125;90027.359375;109865.0625;103474.3125;57202.734375;60867.65625;55330.56640625;59111.7109375
P53086;57768.78515625;40799.3984375;39035.734375;51666.42578125;38237.6953125;35656.20703125;49628.75390625;28558.412109375
P53090;4422032;5045568.5;5460464;5177372;6109669;5902867.5;5784706;5895627
P53091;200470.59375;181180.53125;209689.765625;193361.015625;125979.890625;137274;148320.03125;152275.703125
P53093;413625.78125;350328.90625;324663.125;373522.1875;143229.078125;153191.265625;109485.2578125;159485.421875
P53094;86812.578125;73709.9140625;72663.171875;76966.7421875;77226.0703125;80750.0859375;75131.640625;74718.2578125
P53095;51459.3125;37891.953125;50064.6328125;65330.32421875;54986.98046875;65822.421875;73183.8828125;73448
P53096;40066.4453125;25654.638671875;31279.0703125;53199.11328125;33453.26953125;26187.220703125;38877.57421875;35410.94921875
P53100;23070.40234375;24722.5;31139.900390625;30671.5078125;29341.369140625;33522.578125;24288.845703125;27036.98828125
P53101;32203.845703125;36581.859375;41061.84375;35161.9921875;54020.33203125;69762.671875;69098.578125;66235.8515625
P53104;15178.505859375;14247.2236328125;21046.798828125;23586.96484375;19679.568359375;25653.150390625;24552.919921875;30736.173828125
P53107;25827.974609375;28807.08984375;23176.068359375;29181.802734375;25043.353515625;26651.623046875;38892.4296875;29691.486328125
P53108;52780.48046875;20984.50390625;65546.0625;45498.4296875;54643.68359375;55570.40625;53855.8125;89586.8125
P53109;66456.6640625;58792.2421875;71100.4609375;66109.5078125;97891.296875;88676.1484375;65088.9609375;101661.6875
P53110;22068.20703125;22625.6015625;34576.55078125;125306.2109375;38033.37109375;38726.38671875;47233.8671875;42032.9375
P53111;872389.3125;888590.3125;1027415.1875;1020004.5625;1335164;1336168.25;1322561.625;1335122.25
P53112;121790.3828125;135661.90625;126073.984375;140955.234375;147423.046875;146915.1875;139384.59375;137435.65625
P53114;65441.21484375;41249.8515625;63456.734375;72449.3125;44908.78515625;34883.14453125;38362.3046875;44877.1484375
P53115;162812.59375;167966.453125;158304.421875;158747.421875;139360.40625;141639.84375;139450.546875;151921.59375
P53119;23408.78515625;17418.78515625;27118.67578125;26946.1484375;22916.482421875;24498.068359375;37912.24609375;33781.9296875
P53120;83047.9921875;66865.8984375;85146.9609375;93931.4453125;65997.9765625;68557.4140625;61519.62109375;89870.1484375
P53121;106069.7265625;82856.984375;90205.296875;94249.7109375;83857.953125;71783.8515625;80101.984375;76592.15625
P53125;99448.2734375;116006.703125;98346.8203125;113959.3125;88131.4296875;82768.234375;84981.1796875;97004.1328125
P53128;212913.15625;227334.484375;320501.03125;273996.6875;289263.625;301781.65625;338693.15625;326188.25
P53131;393634.28125;385807.84375;439409.09375;429431.625;400674.59375;430088.78125;433701.0625;506040.65625
P53136;73457.875;66759.2734375;90461.9453125;82745.421875;106983.5625;107521.1875;116261.765625;102350.8984375
P53137;60626.16015625;49898.109375;52981.7578125;50227.90234375;38747.46875;39032.1640625;47959.15625;45032.50390625
P53139;84802.0078125;85684.6640625;58464.203125;68096.59375;90632.046875;80503.421875;321606.8125;0
P53140;19383.931640625;13869.568359375;27809.744140625;25092.607421875;25439.212890625;24461.0703125;27436.248046875;33761.15625
P53141;2053943.25;2252158.5;1854676.375;2060096.5;1962912.625;1787380.125;1970724.5;1764071.875
P53144;99380.609375;116043.703125;109846.90625;94546.6796875;103057.25;122243.546875;116680.890625;105073
P53145;332218.34375;302706.78125;316584.625;326090.125;318067.375;317803;325939.5;319820.40625
P53146;276786.3125;144408.765625;126765.3359375;294597.65625;182299.6875;150015.296875;162241.53125;118121.921875
P53152;266334.71875;313143.9375;257583.59375;283312.96875;285422.28125;280158.84375;281604.53125;277730.1875
P53154;101396.6484375;167005.78125;224133.28125;138758.5;105598.015625;116069.7734375;134389.265625;152570.59375
P53155;25503.68359375;25457.25;31226.3984375;37959.51953125;41882.54296875;40026.70703125;46782.25;46319.2890625
P53158;0;18134.349609375;17125.443359375;13034.00390625;20782.794921875;14794.7578125;20644.91796875;0
P53159;0;0;0;0;10023.158203125;9940.203125;11887.4580078125;8785.05859375
P53163;731561.4375;579658.6875;527666.4375;603074.0625;541411.8125;526476.6875;538665.1875;520625.96875
P53164;165555.484375;153144.171875;166418.75;186989.234375;144574.984375;144964.484375;176821.78125;182302.609375
P53165;60339.49609375;51076.7578125;44136.62109375;52277.3359375;43385.3359375;42929.05859375;39939.3359375;40462.953125
P53166;23938.083984375;19600.796875;20064.99609375;20521.02734375;24942.173828125;27624.044921875;28109.365234375;29348.591796875
P53168;53995.8828125;48407.6953125;49620.66015625;45498.42578125;42250.01953125;44137.7578125;47979.8125;46143.50390625
P53169;14333.060546875;10714.1865234375;18036.826171875;11615.7080078125;15782.20703125;18578.470703125;25545.375;24644.21875
P53172;110131.9453125;87759.859375;124604.34375;106828.734375;116326.9140625;127533.40625;125915.0703125;139529.265625
P53173;763510.1875;609817.5;859584.875;797891.25;1723987.125;1931931.375;2540098.75;2124291.5
P53177;81175.0859375;74138.1484375;53927.9140625;75869.6484375;59224.91015625;64153.60546875;73809.9765625;77808.140625
P53178;74848.78125;68545.1328125;91346.203125;105527.265625;70004.46875;72408.0078125;96683.3984375;80649.28125
P53183;172446.765625;140615.765625;165921.1875;204933.6875;158098.21875;114068.8125;128956.421875;152885.921875
P53184;1755798.125;2211117.5;2209463.25;2439622.25;3276805.75;3137328.75;2879959.75;3063857.5
P53185;0;0;0;0;4293.51025390625;4292.02587890625;4842.27099609375;3810.97143554688
P53188;87246.421875;60832.8671875;72821.9921875;159423.0625;31525.3984375;55046.75390625;38048.46875;42147.52734375
P53189;86748.1015625;86744.75;88871.7265625;121745.90625;31731.685546875;27956.00390625;24105.111328125;47996.8828125
P53191;45643.75;48394.8046875;39141.734375;40369.55078125;33823.984375;30867.322265625;30785.05078125;29856.2890625
P53192;224313.59375;225680.34375;216163.109375;254587.828125;325936.09375;307442.25;302548.71875;341740.40625
P53195;15375.1650390625;13849.171875;16325.458984375;14544.486328125;20984.9765625;16529.63671875;16844.69140625;21174.912109375
P53196;86185.7421875;84465.125;100888.6484375;104451.2734375;72123.203125;102931.8828125;103905.40625;114659.1015625
P53197;53698.66015625;0;76675.5703125;83565.546875;151783.75;181587.765625;153839.375;105759.3671875
P53199;489919.71875;489657.03125;500238.78125;527306.6875;458821;454700.78125;487840.375;514351.625
P53200;522193.71875;469707.21875;530742.5625;504181.1875;445648.09375;439998.40625;415989;463745.46875
P53201;94302.4609375;91040.8515625;72642.3046875;82421.5859375;65032.2265625;64591.1015625;56072.83203125;59025.26953125
P53202;0;13077.04296875;8109.314453125;7838.986328125;9312.0341796875;6746.65283203125;9522.3759765625;8992.095703125
P53204;79338.8515625;68277.359375;72625.1015625;80725.46875;111364.140625;103860.7578125;101080.078125;89088.9296875
P53206;76378.0078125;61932.6171875;86049.2578125;72289.1484375;71978.078125;73962.546875;72618.015625;76538.2265625
P53207;55461.2578125;53820.33203125;38836.375;57018.03515625;48878.921875;47577.046875;46460.9609375;48030.796875
P53210;102443.1640625;113867.7421875;123005.171875;107841.046875;112554.390625;122887.9453125;101973.96875;105204.0546875
P53217;83003.109375;75576.484375;110046.9453125;90273.6328125;146960.015625;151993.59375;162947.859375;152349.453125
P53218;93861.3515625;0;51465.22265625;83752.921875;0;0;0;0
P53219;32501.744140625;37868.15234375;43980.34765625;31880.603515625;21494.169921875;20561.248046875;23176.021484375;25191.51953125
P53220;73387.859375;107209.3046875;91785.96875;67502.8984375;84374.4921875;78684.0546875;53006.078125;81223.7265625
P53221;2661156.25;2298233.75;2003341.75;2320226.5;4141492.75;3513049.75;3832066.5;3465237.75
P53224;488361.71875;418388.375;382658.71875;441626.5625;260225.96875;190998.71875;206350.03125;240425.875
P53228;1001060.5;1638626.875;1901190.5;2035750.125;3454055.5;4159251.75;4050789;4000898.25
P53235;493238.53125;458920.65625;538111.3125;501582.90625;534863.1875;568484.6875;527833.5625;552474
P53236;107214.3203125;104182.921875;88904.3359375;151991.171875;46933.3828125;71141.0546875;53436.66796875;78639.8125
P53241;205402.015625;48914.8046875;121137.3203125;112906.7734375;26932.677734375;36221.40234375;24332.0234375;23498.802734375
P53244;62654.5;51561.37109375;59953.484375;63493.41015625;48066;56157.5546875;63985.328125;140033.234375
P53250;401826.21875;453840.9375;532480.8125;420558.5625;468441.59375;552583.4375;539609.25;485121.5625
P53251;135296.875;116493.4609375;131661.390625;122005.3046875;87043.046875;91149.203125;106592.6171875;83587.703125
P53252;5134019;5452509.5;5569221.5;5644163;4707708;4293686;4428839.5;4556722
P53253;27414.662109375;22487.69140625;24536.775390625;30024.9609375;24607.701171875;24154.203125;20958.39453125;22088.51171875
P53254;204139.546875;192507.703125;280275.9375;221034.265625;258187.203125;292483.59375;334055.21875;304306.5
P53255;0;16124.8564453125;27839.80859375;28691.923828125;53797.08984375;46375.16796875;20661.287109375;23579.857421875
P53256;416369.375;364898.53125;415537.28125;383029.34375;255995.453125;249960.125;249915;319791.3125
P53258;114593.8046875;109754.171875;109402;126933.3515625;108833.3515625;107851.3046875;104171.078125;99618.859375
P53261;306254.3125;280008.21875;297929.0625;309791.125;507215.46875;527314.875;523070.375;538104.1875
P53262;162967.640625;158457.359375;162526.3125;224823.640625;145412.765625;118540.59375;147639.78125;167741.953125
